0,[-14.67023332 -14.67023332],[230.09070498 230.09070498],[-14.65990796 -14.65990796]
1000,[0.6377649 0.6377649],[241.49950552 241.49950552],[0.64809026 0.64809026]
2000,[4.19654705 4.19654705],[246.83911024 246.83911024],[4.20687241 4.20687241]
3000,[5.24668073 5.24668073],[250.42631101 250.42631101],[5.25700609 5.25700609]
4000,[5.77735796 5.77735796],[250.35164422 250.35164422],[5.78768331 5.78768331]
5000,[6.0630025 6.0630025],[248.88989748 248.88989748],[6.07332786 6.07332786]
6000,[5.99731428 5.99731428],[251.11410376 251.11410376],[6.00763964 6.00763964]
7000,[5.5186125 5.5186125],[248.21772683 248.21772683],[5.52893785 5.52893785]
8000,[4.33238855 4.33238855],[246.4043232 246.4043232],[4.3427139 4.3427139]
9000,[6.11041365 6.11041365],[252.30534683 252.30534683],[6.12073901 6.12073901]
